Solving for objective max_perf with perfLB=10.0 Gflop/s, areaUB=1000.0 mm2, powerUB=10000000000.0 W

######################################################
List of objective values:
1. ['Intel Core i9-13900K', 'DDR4-3200', '1x L3s', '0.25 App. AI, 100.0 MB Workset']: 7.6593e+09
442. ['Intel Core i9-13900K', 'HBM2', '21x L3s', '0.5 App. AI, 50.0 MB Workset']: 2.2860e+11
443. ['Intel Core i9-13900K', 'DDR4-3200', '22x L3s', '0.5 App. AI, 50.0 MB Workset']: 2.2860e+11
444. ['Intel Core i9-13900K', 'HBM2', '22x L3s', '0.5 App. AI, 50.0 MB Workset']: 2.2860e+11
445. ['Intel Core i9-13900K', 'DDR4-3200', '23x L3s', '0.5 App. AI, 50.0 MB Workset']: 2.2860e+11
446. ['Intel Core i9-13900K', 'HBM2', '23x L3s', '0.5 App. AI, 50.0 MB Workset']: 2.2860e+11
447. ['Intel Core i9-13900K', 'DDR4-3200', '24x L3s', '0.5 App. AI, 50.0 MB Workset']: 2.2860e+11
448. ['Intel Core i9-13900K', 'HBM2', '24x L3s', '0.5 App. AI, 50.0 MB Workset']: 2.2860e+11
449. ['Intel Core i9-13900K', 'DDR4-3200', '25x L3s', '0.5 App. AI, 50.0 MB Workset']: 2.2860e+11
450. ['Intel Core i9-13900K', 'HBM2', '25x L3s', '0.5 App. AI, 50.0 MB Workset']: 2.2860e+11
451. ['Intel Core i9-13900K', 'DDR4-3200', '26x L3s', '0.5 App. AI, 50.0 MB Workset']: 2.2860e+11
452. ['Intel Core i9-13900K', 'HBM2', '26x L3s', '0.5 App. AI, 50.0 MB Workset']: 2.2860e+11
453. ['Intel Core i9-13900K', 'DDR4-3200', '27x L3s', '0.5 App. AI, 50.0 MB Workset']: 2.2860e+11
454. ['Intel Core i9-13900K', 'HBM2', '27x L3s', '0.5 App. AI, 50.0 MB Workset']: 2.2860e+11
455. ['Intel Core i9-13900K', 'DDR4-3200', '28x L3s', '0.5 App. AI, 50.0 MB Workset']: 2.2860e+11
456. ['Intel Core i9-13900K', 'HBM2', '28x L3s', '0.5 App. AI, 50.0 MB Workset']: 2.2860e+11
457. ['Intel Core i9-13900K', 'DDR4-3200', '29x L3s', '0.5 App. AI, 50.0 MB Workset']: 2.2860e+11
458. ['Intel Core i9-13900K', 'HBM2', '29x L3s', '0.5 App. AI, 50.0 MB Workset']: 2.2860e+11
459. ['Intel Core i9-13900K', 'DDR4-3200', '30x L3s', '0.5 App. AI, 50.0 MB Workset']: 2.2860e+11
460. ['Intel Core i9-13900K', 'HBM2', '30x L3s', '0.5 App. AI, 50.0 MB Workset']: 2.2860e+11
461. ['Intel Core i9-13900K', 'DDR4-3200', '31x L3s', '0.5 App. AI, 50.0 MB Workset']: 2.2860e+11
462. ['Intel Core i9-13900K', 'HBM2', '31x L3s', '0.5 App. AI, 50.0 MB Workset']: 2.2860e+11
463. ['Intel Core i9-13900K', 'DDR4-3200', '32x L3s', '0.5 App. AI, 50.0 MB Workset']: 2.2860e+11
464. ['Intel Core i9-13900K', 'HBM2', '32x L3s', '0.5 App. AI, 50.0 MB Workset']: 2.2860e+11
465. ['Intel Core i9-13900K', 'DDR4-3200', '33x L3s', '0.5 App. AI, 50.0 MB Workset']: 2.2860e+11
466. ['Intel Core i9-13900K', 'HBM2', '33x L3s', '0.5 App. AI, 50.0 MB Workset']: 2.2860e+11
467. ['Intel Core i9-13900K', 'DDR4-3200', '34x L3s', '0.5 App. AI, 50.0 MB Workset']: 2.2860e+11
468. ['Intel Core i9-13900K', 'HBM2', '34x L3s', '0.5 App. AI, 50.0 MB Workset']: 2.2860e+11
469. ['Intel Core i9-13900K', 'DDR4-3200', '35x L3s', '0.5 App. AI, 50.0 MB Workset']: 2.2860e+11
470. ['Intel Core i9-13900K', 'HBM2', '35x L3s', '0.5 App. AI, 50.0 MB Workset']: 2.2860e+11
471. ['Intel Core i9-13900K', 'DDR4-3200', '36x L3s', '0.5 App. AI, 50.0 MB Workset']: 2.2860e+11
472. ['Intel Core i9-13900K', 'HBM2', '36x L3s', '0.5 App. AI, 50.0 MB Workset']: 2.2860e+11
473. ['Intel Core i9-13900K', 'DDR4-3200', '37x L3s', '0.5 App. AI, 50.0 MB Workset']: 2.2860e+11
474. ['Intel Core i9-13900K', 'HBM2', '37x L3s', '0.5 App. AI, 50.0 MB Workset']: 2.2860e+11
475. ['Intel Core i9-13900K', 'DDR4-3200', '38x L3s', '0.5 App. AI, 50.0 MB Workset']: 2.2860e+11
476. ['Intel Core i9-13900K', 'HBM2', '38x L3s', '0.5 App. AI, 50.0 MB Workset']: 2.2860e+11
477. ['Intel Core i9-13900K', 'DDR4-3200', '39x L3s', '0.5 App. AI, 50.0 MB Workset']: 2.2860e+11
478. ['Intel Core i9-13900K', 'HBM2', '39x L3s', '0.5 App. AI, 50.0 MB Workset']: 2.2860e+11
479. ['Intel Core i9-13900K', 'DDR4-3200', '40x L3s', '0.5 App. AI, 50.0 MB Workset']: 2.2860e+11
480. ['Intel Core i9-13900K', 'HBM2', '40x L3s', '0.5 App. AI, 50.0 MB Workset']: 2.2860e+11
481. ['Intel Core i9-13900K', 'DDR4-3200', '41x L3s', '0.5 App. AI, 50.0 MB Workset']: 2.2860e+11
482. ['Intel Core i9-13900K', 'HBM2', '41x L3s', '0.5 App. AI, 50.0 MB Workset']: 2.2860e+11
483. ['Intel Core i9-13900K', 'DDR4-3200', '42x L3s', '0.5 App. AI, 50.0 MB Workset']: 2.2860e+11
484. ['Intel Core i9-13900K', 'HBM2', '42x L3s', '0.5 App. AI, 50.0 MB Workset']: 2.2860e+11
485. ['Intel Core i9-13900K', 'DDR4-3200', '43x L3s', '0.5 App. AI, 50.0 MB Workset']: 2.2860e+11
486. ['Intel Core i9-13900K', 'HBM2', '43x L3s', '0.5 App. AI, 50.0 MB Workset']: 2.2860e+11
487. ['Intel Core i9-13900K', 'DDR4-3200', '44x L3s', '0.5 App. AI, 50.0 MB Workset']: 2.2860e+11
488. ['Intel Core i9-13900K', 'HBM2', '44x L3s', '0.5 App. AI, 50.0 MB Workset']: 2.2860e+11
489. ['Intel Core i9-13900K', 'DDR4-3200', '45x L3s', '0.5 App. AI, 50.0 MB Workset']: 2.2860e+11
490. ['Intel Core i9-13900K', 'HBM2', '45x L3s', '0.5 App. AI, 50.0 MB Workset']: 2.2860e+11
491. ['Intel Core i9-13900K', 'DDR4-3200', '46x L3s', '0.5 App. AI, 50.0 MB Workset']: 2.2860e+11
492. ['Intel Core i9-13900K', 'HBM2', '46x L3s', '0.5 App. AI, 50.0 MB Workset']: 2.2860e+11
493. ['Intel Core i9-13900K', 'DDR4-3200', '47x L3s', '0.5 App. AI, 50.0 MB Workset']: 2.2860e+11
494. ['Intel Core i9-13900K', 'HBM2', '47x L3s', '0.5 App. AI, 50.0 MB Workset']: 2.2860e+11
495. ['Intel Core i9-13900K', 'DDR4-3200', '48x L3s', '0.5 App. AI, 50.0 MB Workset']: 2.2860e+11
496. ['Intel Core i9-13900K', 'HBM2', '48x L3s', '0.5 App. AI, 50.0 MB Workset']: 2.2860e+11
497. ['Intel Core i9-13900K', 'DDR4-3200', '49x L3s', '0.5 App. AI, 50.0 MB Workset']: 2.2860e+11
498. ['Intel Core i9-13900K', 'HBM2', '49x L3s', '0.5 App. AI, 50.0 MB Workset']: 2.2860e+11
499. ['Intel Core i9-13900K', 'DDR4-3200', '50x L3s', '0.5 App. AI, 50.0 MB Workset']: 2.2860e+11
500. ['Intel Core i9-13900K', 'HBM2', '50x L3s', '0.5 App. AI, 50.0 MB Workset']: 2.2860e+11
501. ['Intel Core i9-13900K', 'DDR4-3200', '1x L3s', '0.5 App. AI, 25.0 MB Workset']: 1.6361e+10
502. ['Intel Core i9-13900K', 'HBM2', '1x L3s', '0.5 App. AI, 25.0 MB Workset']: 1.6361e+10
503. ['Intel Core i9-13900K', 'DDR4-3200', '2x L3s', '0.5 App. AI, 25.0 MB Workset']: 3.2723e+10
504. ['Intel Core i9-13900K', 'HBM2', '2x L3s', '0.5 App. AI, 25.0 MB Workset']: 3.2723e+10
505. ['Intel Core i9-13900K', 'DDR4-3200', '3x L3s', '0.5 App. AI, 25.0 MB Workset']: 4.9084e+10
506. ['Intel Core i9-13900K', 'HBM2', '3x L3s', '0.5 App. AI, 25.0 MB Workset']: 4.9084e+10
507. ['Intel Core i9-13900K', 'DDR4-3200', '4x L3s', '0.5 App. AI, 25.0 MB Workset']: 6.5445e+10
508. ['Intel Core i9-13900K', 'HBM2', '4x L3s', '0.5 App. AI, 25.0 MB Workset']: 6.5445e+10
509. ['Intel Core i9-13900K', 'DDR4-3200', '5x L3s', '0.5 App. AI, 25.0 MB Workset']: 8.1806e+10
510. ['Intel Core i9-13900K', 'HBM2', '5x L3s', '0.5 App. AI, 25.0 MB Workset']: 8.1806e+10
511. ['Intel Core i9-13900K', 'DDR4-3200', '6x L3s', '0.5 App. AI, 25.0 MB Workset']: 9.8168e+10
512. ['Intel Core i9-13900K', 'HBM2', '6x L3s', '0.5 App. AI, 25.0 MB Workset']: 9.8168e+10
513. ['Intel Core i9-13900K', 'DDR4-3200', '7x L3s', '0.5 App. AI, 25.0 MB Workset']: 1.1259e+11
514. ['Intel Core i9-13900K', 'HBM2', '7x L3s', '0.5 App. AI, 25.0 MB Workset']: 1.1453e+11
515. ['Intel Core i9-13900K', 'DDR4-3200', '8x L3s', '0.5 App. AI, 25.0 MB Workset']: 1.3089e+11
516. ['Intel Core i9-13900K', 'HBM2', '8x L3s', '0.5 App. AI, 25.0 MB Workset']: 1.3089e+11
517. ['Intel Core i9-13900K', 'DDR4-3200', '9x L3s', '0.5 App. AI, 25.0 MB Workset']: 1.4725e+11
518. ['Intel Core i9-13900K', 'HBM2', '9x L3s', '0.5 App. AI, 25.0 MB Workset']: 1.4725e+11
519. ['Intel Core i9-13900K', 'DDR4-3200', '10x L3s', '0.5 App. AI, 25.0 MB Workset']: 1.6361e+11
520. ['Intel Core i9-13900K', 'HBM2', '10x L3s', '0.5 App. AI, 25.0 MB Workset']: 1.6361e+11
521. ['Intel Core i9-13900K', 'DDR4-3200', '11x L3s', '0.5 App. AI, 25.0 MB Workset']: 1.7997e+11
522. ['Intel Core i9-13900K', 'HBM2', '11x L3s', '0.5 App. AI, 25.0 MB Workset']: 1.7997e+11
523. ['Intel Core i9-13900K', 'DDR4-3200', '12x L3s', '0.5 App. AI, 25.0 MB Workset']: 1.9634e+11
524. ['Intel Core i9-13900K', 'HBM2', '12x L3s', '0.5 App. AI, 25.0 MB Workset']: 1.9634e+11
525. ['Intel Core i9-13900K', 'DDR4-3200', '13x L3s', '0.5 App. AI, 25.0 MB Workset']: 2.1270e+11
526. ['Intel Core i9-13900K', 'HBM2', '13x L3s', '0.5 App. AI, 25.0 MB Workset']: 2.1270e+11
527. ['Intel Core i9-13900K', 'DDR4-3200', '14x L3s', '0.5 App. AI, 25.0 MB Workset']: 2.2860e+11
528. ['Intel Core i9-13900K', 'HBM2', '14x L3s', '0.5 App. AI, 25.0 MB Workset']: 2.2860e+11
529. ['Intel Core i9-13900K', 'DDR4-3200', '15x L3s', '0.5 App. AI, 25.0 MB Workset']: 2.2860e+11
530. ['Intel Core i9-13900K', 'HBM2', '15x L3s', '0.5 App. AI, 25.0 MB Workset']: 2.2860e+11
531. ['Intel Core i9-13900K', 'DDR4-3200', '16x L3s', '0.5 App. AI, 25.0 MB Workset']: 2.2860e+11
532. ['Intel Core i9-13900K', 'HBM2', '16x L3s', '0.5 App. AI, 25.0 MB Workset']: 2.2860e+11
533. ['Intel Core i9-13900K', 'DDR4-3200', '17x L3s', '0.5 App. AI, 25.0 MB Workset']: 2.2860e+11
534. ['Intel Core i9-13900K', 'HBM2', '17x L3s', '0.5 App. AI, 25.0 MB Workset']: 2.2860e+11
535. ['Intel Core i9-13900K', 'DDR4-3200', '18x L3s', '0.5 App. AI, 25.0 MB Workset']: 2.2860e+11
536. ['Intel Core i9-13900K', 'HBM2', '18x L3s', '0.5 App. AI, 25.0 MB Workset']: 2.2860e+11
537. ['Intel Core i9-13900K', 'DDR4-3200', '19x L3s', '0.5 App. AI, 25.0 MB Workset']: 2.2860e+11
538. ['Intel Core i9-13900K', 'HBM2', '19x L3s', '0.5 App. AI, 25.0 MB Workset']: 2.2860e+11
539. ['Intel Core i9-13900K', 'DDR4-3200', '20x L3s', '0.5 App. AI, 25.0 MB Workset']: 2.2860e+11
540. ['Intel Core i9-13900K', 'HBM2', '20x L3s', '0.5 App. AI, 25.0 MB Workset']: 2.2860e+11
541. ['Intel Core i9-13900K', 'DDR4-3200', '21x L3s', '0.5 App. AI, 25.0 MB Workset']: 2.2860e+11
542. ['Intel Core i9-13900K', 'HBM2', '21x L3s', '0.5 App. AI, 25.0 MB Workset']: 2.2860e+11
543. ['Intel Core i9-13900K', 'DDR4-3200', '22x L3s', '0.5 App. AI, 25.0 MB Workset']: 2.2860e+11
544. ['Intel Core i9-13900K', 'HBM2', '22x L3s', '0.5 App. AI, 25.0 MB Workset']: 2.2860e+11
545. ['Intel Core i9-13900K', 'DDR4-3200', '23x L3s', '0.5 App. AI, 25.0 MB Workset']: 2.2860e+11
546. ['Intel Core i9-13900K', 'HBM2', '23x L3s', '0.5 App. AI, 25.0 MB Workset']: 2.2860e+11
547. ['Intel Core i9-13900K', 'DDR4-3200', '24x L3s', '0.5 App. AI, 25.0 MB Workset']: 2.2860e+11
548. ['Intel Core i9-13900K', 'HBM2', '24x L3s', '0.5 App. AI, 25.0 MB Workset']: 2.2860e+11
549. ['Intel Core i9-13900K', 'DDR4-3200', '25x L3s', '0.5 App. AI, 25.0 MB Workset']: 2.2860e+11
550. ['Intel Core i9-13900K', 'HBM2', '25x L3s', '0.5 App. AI, 25.0 MB Workset']: 2.2860e+11
551. ['Intel Core i9-13900K', 'DDR4-3200', '26x L3s', '0.5 App. AI, 25.0 MB Workset']: 2.2860e+11
552. ['Intel Core i9-13900K', 'HBM2', '26x L3s', '0.5 App. AI, 25.0 MB Workset']: 2.2860e+11
553. ['Intel Core i9-13900K', 'DDR4-3200', '27x L3s', '0.5 App. AI, 25.0 MB Workset']: 2.2860e+11
554. ['Intel Core i9-13900K', 'HBM2', '27x L3s', '0.5 App. AI, 25.0 MB Workset']: 2.2860e+11
555. ['Intel Core i9-13900K', 'DDR4-3200', '28x L3s', '0.5 App. AI, 25.0 MB Workset']: 2.2860e+11
556. ['Intel Core i9-13900K', 'HBM2', '28x L3s', '0.5 App. AI, 25.0 MB Workset']: 2.2860e+11
557. ['Intel Core i9-13900K', 'DDR4-3200', '29x L3s', '0.5 App. AI, 25.0 MB Workset']: 2.2860e+11
558. ['Intel Core i9-13900K', 'HBM2', '29x L3s', '0.5 App. AI, 25.0 MB Workset']: 2.2860e+11
559. ['Intel Core i9-13900K', 'DDR4-3200', '30x L3s', '0.5 App. AI, 25.0 MB Workset']: 2.2860e+11
560. ['Intel Core i9-13900K', 'HBM2', '30x L3s', '0.5 App. AI, 25.0 MB Workset']: 2.2860e+11
561. ['Intel Core i9-13900K', 'DDR4-3200', '31x L3s', '0.5 App. AI, 25.0 MB Workset']: 2.2860e+11
562. ['Intel Core i9-13900K', 'HBM2', '31x L3s', '0.5 App. AI, 25.0 MB Workset']: 2.2860e+11
563. ['Intel Core i9-13900K', 'DDR4-3200', '32x L3s', '0.5 App. AI, 25.0 MB Workset']: 2.2860e+11
564. ['Intel Core i9-13900K', 'HBM2', '32x L3s', '0.5 App. AI, 25.0 MB Workset']: 2.2860e+11
565. ['Intel Core i9-13900K', 'DDR4-3200', '33x L3s', '0.5 App. AI, 25.0 MB Workset']: 2.2860e+11
566. ['Intel Core i9-13900K', 'HBM2', '33x L3s', '0.5 App. AI, 25.0 MB Workset']: 2.2860e+11
567. ['Intel Core i9-13900K', 'DDR4-3200', '34x L3s', '0.5 App. AI, 25.0 MB Workset']: 2.2860e+11
568. ['Intel Core i9-13900K', 'HBM2', '34x L3s', '0.5 App. AI, 25.0 MB Workset']: 2.2860e+11
569. ['Intel Core i9-13900K', 'DDR4-3200', '35x L3s', '0.5 App. AI, 25.0 MB Workset']: 2.2860e+11
570. ['Intel Core i9-13900K', 'HBM2', '35x L3s', '0.5 App. AI, 25.0 MB Workset']: 2.2860e+11
571. ['Intel Core i9-13900K', 'DDR4-3200', '36x L3s', '0.5 App. AI, 25.0 MB Workset']: 2.2860e+11
572. ['Intel Core i9-13900K', 'HBM2', '36x L3s', '0.5 App. AI, 25.0 MB Workset']: 2.2860e+11
573. ['Intel Core i9-13900K', 'DDR4-3200', '37x L3s', '0.5 App. AI, 25.0 MB Workset']: 2.2860e+11
574. ['Intel Core i9-13900K', 'HBM2', '37x L3s', '0.5 App. AI, 25.0 MB Workset']: 2.2860e+11
575. ['Intel Core i9-13900K', 'DDR4-3200', '38x L3s', '0.5 App. AI, 25.0 MB Workset']: 2.2860e+11
576. ['Intel Core i9-13900K', 'HBM2', '38x L3s', '0.5 App. AI, 25.0 MB Workset']: 2.2860e+11
577. ['Intel Core i9-13900K', 'DDR4-3200', '39x L3s', '0.5 App. AI, 25.0 MB Workset']: 2.2860e+11
578. ['Intel Core i9-13900K', 'HBM2', '39x L3s', '0.5 App. AI, 25.0 MB Workset']: 2.2860e+11
579. ['Intel Core i9-13900K', 'DDR4-3200', '40x L3s', '0.5 App. AI, 25.0 MB Workset']: 2.2860e+11
580. ['Intel Core i9-13900K', 'HBM2', '40x L3s', '0.5 App. AI, 25.0 MB Workset']: 2.2860e+11
581. ['Intel Core i9-13900K', 'DDR4-3200', '41x L3s', '0.5 App. AI, 25.0 MB Workset']: 2.2860e+11
582. ['Intel Core i9-13900K', 'HBM2', '41x L3s', '0.5 App. AI, 25.0 MB Workset']: 2.2860e+11
583. ['Intel Core i9-13900K', 'DDR4-3200', '42x L3s', '0.5 App. AI, 25.0 MB Workset']: 2.2860e+11
584. ['Intel Core i9-13900K', 'HBM2', '42x L3s', '0.5 App. AI, 25.0 MB Workset']: 2.2860e+11
585. ['Intel Core i9-13900K', 'DDR4-3200', '43x L3s', '0.5 App. AI, 25.0 MB Workset']: 2.2860e+11
586. ['Intel Core i9-13900K', 'HBM2', '43x L3s', '0.5 App. AI, 25.0 MB Workset']: 2.2860e+11
587. ['Intel Core i9-13900K', 'DDR4-3200', '44x L3s', '0.5 App. AI, 25.0 MB Workset']: 2.2860e+11
588. ['Intel Core i9-13900K', 'HBM2', '44x L3s', '0.5 App. AI, 25.0 MB Workset']: 2.2860e+11
589. ['Intel Core i9-13900K', 'DDR4-3200', '45x L3s', '0.5 App. AI, 25.0 MB Workset']: 2.2860e+11
590. ['Intel Core i9-13900K', 'HBM2', '45x L3s', '0.5 App. AI, 25.0 MB Workset']: 2.2860e+11
591. ['Intel Core i9-13900K', 'DDR4-3200', '46x L3s', '0.5 App. AI, 25.0 MB Workset']: 2.2860e+11
592. ['Intel Core i9-13900K', 'HBM2', '46x L3s', '0.5 App. AI, 25.0 MB Workset']: 2.2860e+11
593. ['Intel Core i9-13900K', 'DDR4-3200', '47x L3s', '0.5 App. AI, 25.0 MB Workset']: 2.2860e+11
594. ['Intel Core i9-13900K', 'HBM2', '47x L3s', '0.5 App. AI, 25.0 MB Workset']: 2.2860e+11
595. ['Intel Core i9-13900K', 'DDR4-3200', '48x L3s', '0.5 App. AI, 25.0 MB Workset']: 2.2860e+11
596. ['Intel Core i9-13900K', 'HBM2', '48x L3s', '0.5 App. AI, 25.0 MB Workset']: 2.2860e+11
597. ['Intel Core i9-13900K', 'DDR4-3200', '49x L3s', '0.5 App. AI, 25.0 MB Workset']: 2.2860e+11
598. ['Intel Core i9-13900K', 'HBM2', '49x L3s', '0.5 App. AI, 25.0 MB Workset']: 2.2860e+11
599. ['Intel Core i9-13900K', 'DDR4-3200', '50x L3s', '0.5 App. AI, 25.0 MB Workset']: 2.2860e+11
600. ['Intel Core i9-13900K', 'HBM2', '50x L3s', '0.5 App. AI, 25.0 MB Workset']: 2.2860e+11
601. ['Intel Core i9-13900K', 'DDR4-3200', '1x L3s', '1 App. AI, 100.0 MB Workset']: 3.0637e+10
602. ['Intel Core i9-13900K', 'HBM2', '1x L3s', '1 App. AI, 100.0 MB Workset']: 3.0637e+10
603. ['Intel Core i9-13900K', 'DDR4-3200', '2x L3s', '1 App. AI, 100.0 MB Workset']: 6.1275e+10
604. ['Intel Core i9-13900K', 'HBM2', '2x L3s', '1 App. AI, 100.0 MB Workset']: 6.1275e+10
605. ['Intel Core i9-13900K', 'DDR4-3200', '3x L3s', '1 App. AI, 100.0 MB Workset']: 9.1912e+10
606. ['Intel Core i9-13900K', 'HBM2', '3x L3s', '1 App. AI, 100.0 MB Workset']: 9.1912e+10
607. ['Intel Core i9-13900K', 'DDR4-3200', '4x L3s', '1 App. AI, 100.0 MB Workset']: 1.1269e+11
608. ['Intel Core i9-13900K', 'HBM2', '4x L3s', '1 App. AI, 100.0 MB Workset']: 1.2255e+11
609. ['Intel Core i9-13900K', 'DDR4-3200', '5x L3s', '1 App. AI, 100.0 MB Workset']: 1.1492e+11
610. ['Intel Core i9-13900K', 'HBM2', '5x L3s', '1 App. AI, 100.0 MB Workset']: 1.5319e+11
611. ['Intel Core i9-13900K', 'DDR4-3200', '6x L3s', '1 App. AI, 100.0 MB Workset']: 1.1724e+11
612. ['Intel Core i9-13900K', 'HBM2', '6x L3s', '1 App. AI, 100.0 MB Workset']: 1.8382e+11
613. ['Intel Core i9-13900K', 'DDR4-3200', '7x L3s', '1 App. AI, 100.0 MB Workset']: 1.1965e+11
614. ['Intel Core i9-13900K', 'HBM2', '7x L3s', '1 App. AI, 100.0 MB Workset']: 2.1446e+11
615. ['Intel Core i9-13900K', 'DDR4-3200', '8x L3s', '1 App. AI, 100.0 MB Workset']: 1.2217e+11
616. ['Intel Core i9-13900K', 'HBM2', '8x L3s', '1 App. AI, 100.0 MB Workset']: 2.2860e+11
617. ['Intel Core i9-13900K', 'DDR4-3200', '9x L3s', '1 App. AI, 100.0 MB Workset']: 1.2479e+11
618. ['Intel Core i9-13900K', 'HBM2', '9x L3s', '1 App. AI, 100.0 MB Workset']: 2.2860e+11
619. ['Intel Core i9-13900K', 'DDR4-3200', '10x L3s', '1 App. AI, 100.0 MB Workset']: 1.2753e+11
620. ['Intel Core i9-13900K', 'HBM2', '10x L3s', '1 App. AI, 100.0 MB Workset']: 2.2860e+11
621. ['Intel Core i9-13900K', 'DDR4-3200', '11x L3s', '1 App. AI, 100.0 MB Workset']: 1.3039e+11
622. ['Intel Core i9-13900K', 'HBM2', '11x L3s', '1 App. AI, 100.0 MB Workset']: 2.2860e+11
623. ['Intel Core i9-13900K', 'DDR4-3200', '12x L3s', '1 App. AI, 100.0 MB Workset']: 1.3339e+11
624. ['Intel Core i9-13900K', 'HBM2', '12x L3s', '1 App. AI, 100.0 MB Workset']: 2.2860e+11
625. ['Intel Core i9-13900K', 'DDR4-3200', '13x L3s', '1 App. AI, 100.0 MB Workset']: 1.3652e+11
626. ['Intel Core i9-13900K', 'HBM2', '13x L3s', '1 App. AI, 100.0 MB Workset']: 2.2860e+11
627. ['Intel Core i9-13900K', 'DDR4-3200', '14x L3s', '1 App. AI, 100.0 MB Workset']: 1.3981e+11
628. ['Intel Core i9-13900K', 'HBM2', '14x L3s', '1 App. AI, 100.0 MB Workset']: 2.2860e+11
629. ['Intel Core i9-13900K', 'DDR4-3200', '15x L3s', '1 App. AI, 100.0 MB Workset']: 1.4325e+11
630. ['Intel Core i9-13900K', 'HBM2', '15x L3s', '1 App. AI, 100.0 MB Workset']: 2.2860e+11
631. ['Intel Core i9-13900K', 'DDR4-3200', '16x L3s', '1 App. AI, 100.0 MB Workset']: 1.4688e+11
632. ['Intel Core i9-13900K', 'HBM2', '16x L3s', '1 App. AI, 100.0 MB Workset']: 2.2860e+11
633. ['Intel Core i9-13900K', 'DDR4-3200', '17x L3s', '1 App. AI, 100.0 MB Workset']: 1.5068e+11
634. ['Intel Core i9-13900K', 'HBM2', '17x L3s', '1 App. AI, 100.0 MB Workset']: 2.2860e+11
635. ['Intel Core i9-13900K', 'DDR4-3200', '18x L3s', '1 App. AI, 100.0 MB Workset']: 1.5470e+11
636. ['Intel Core i9-13900K', 'HBM2', '18x L3s', '1 App. AI, 100.0 MB Workset']: 2.2860e+11
637. ['Intel Core i9-13900K', 'DDR4-3200', '19x L3s', '1 App. AI, 100.0 MB Workset']: 1.5893e+11
638. ['Intel Core i9-13900K', 'HBM2', '19x L3s', '1 App. AI, 100.0 MB Workset']: 2.2860e+11
639. ['Intel Core i9-13900K', 'DDR4-3200', '20x L3s', '1 App. AI, 100.0 MB Workset']: 1.6340e+11
640. ['Intel Core i9-13900K', 'HBM2', '20x L3s', '1 App. AI, 100.0 MB Workset']: 2.2860e+11
641. ['Intel Core i9-13900K', 'DDR4-3200', '21x L3s', '1 App. AI, 100.0 MB Workset']: 1.6813e+11
642. ['Intel Core i9-13900K', 'HBM2', '21x L3s', '1 App. AI, 100.0 MB Workset']: 2.2860e+11
643. ['Intel Core i9-13900K', 'DDR4-3200', '22x L3s', '1 App. AI, 100.0 MB Workset']: 1.7314e+11
644. ['Intel Core i9-13900K', 'HBM2', '22x L3s', '1 App. AI, 100.0 MB Workset']: 2.2860e+11
645. ['Intel Core i9-13900K', 'DDR4-3200', '23x L3s', '1 App. AI, 100.0 MB Workset']: 1.7846e+11
646. ['Intel Core i9-13900K', 'HBM2', '23x L3s', '1 App. AI, 100.0 MB Workset']: 2.2860e+11
647. ['Intel Core i9-13900K', 'DDR4-3200', '24x L3s', '1 App. AI, 100.0 MB Workset']: 1.8411e+11
648. ['Intel Core i9-13900K', 'HBM2', '24x L3s', '1 App. AI, 100.0 MB Workset']: 2.2860e+11
649. ['Intel Core i9-13900K', 'DDR4-3200', '25x L3s', '1 App. AI, 100.0 MB Workset']: 1.9014e+11
650. ['Intel Core i9-13900K', 'HBM2', '25x L3s', '1 App. AI, 100.0 MB Workset']: 2.2860e+11
651. ['Intel Core i9-13900K', 'DDR4-3200', '26x L3s', '1 App. AI, 100.0 MB Workset']: 1.9657e+11
652. ['Intel Core i9-13900K', 'HBM2', '26x L3s', '1 App. AI, 100.0 MB Workset']: 2.2860e+11
653. ['Intel Core i9-13900K', 'DDR4-3200', '27x L3s', '1 App. AI, 100.0 MB Workset']: 2.0345e+11
654. ['Intel Core i9-13900K', 'HBM2', '27x L3s', '1 App. AI, 100.0 MB Workset']: 2.2860e+11
655. ['Intel Core i9-13900K', 'DDR4-3200', '28x L3s', '1 App. AI, 100.0 MB Workset']: 2.1084e+11
656. ['Intel Core i9-13900K', 'HBM2', '28x L3s', '1 App. AI, 100.0 MB Workset']: 2.2860e+11
657. ['Intel Core i9-13900K', 'DDR4-3200', '29x L3s', '1 App. AI, 100.0 MB Workset']: 2.1878e+11
658. ['Intel Core i9-13900K', 'HBM2', '29x L3s', '1 App. AI, 100.0 MB Workset']: 2.2860e+11
659. ['Intel Core i9-13900K', 'DDR4-3200', '30x L3s', '1 App. AI, 100.0 MB Workset']: 2.2734e+11
660. ['Intel Core i9-13900K', 'HBM2', '30x L3s', '1 App. AI, 100.0 MB Workset']: 2.2860e+11
661. ['Intel Core i9-13900K', 'DDR4-3200', '31x L3s', '1 App. AI, 100.0 MB Workset']: 2.2860e+11
662. ['Intel Core i9-13900K', 'HBM2', '31x L3s', '1 App. AI, 100.0 MB Workset']: 2.2860e+11
663. ['Intel Core i9-13900K', 'DDR4-3200', '32x L3s', '1 App. AI, 100.0 MB Workset']: 2.2860e+11
664. ['Intel Core i9-13900K', 'HBM2', '32x L3s', '1 App. AI, 100.0 MB Workset']: 2.2860e+11
